12345678901234567890;05/01/2025;14:30;I;120.50
09876543210987654321;12/01/2025;09:15;E;45.75
11223344556677889900;18/01/2025;18:45;I;300.00
22334455667788990011;22/01/2025;12:00;E;650.00
33445566778899001122;28/01/2025;08:00;I;75.25
44556677889900112233;03/02/2025;16:20;E;200.50
55667788990011223344;07/02/2025;10:10;I;450.75
66778899001122334455;14/02/2025;20:30;E;50.00
77889900112233445566;19/02/2025;11:45;I;600.00
88990011223344556677;25/02/2025;13:55;E;125.25
12345678901234567890;02/01/2025;17:00;E;80.50
09876543210987654321;08/01/2025;14:15;I;300.75
11223344556677889900;15/01/2025;09:30;E;400.00
22334455667788990011;20/01/2025;16:45;I;550.50
33445566778899001122;25/01/2025;10:20;E;250.75
44556677889900112233;30/01/2025;12:35;I;100.00
55667788990011223344;04/02/2025;19:50;E;500.25
66778899001122334455;10/02/2025;08:05;I;75.50
77889900112233445566;15/02/2025;14:40;E;350.00
88990011223344556677;20/02/2025;11:55;I;200.75
12345678901234567890;01/01/2025;13:10;E;150.50
09876543210987654321;06/01/2025;18:25;I;450.25
11223344556677889900;11/01/2025;10:50;E;600.75
22334455667788990011;16/01/2025;12:15;I;300.00
33445566778899001122;21/01/2025;09:40;E;50.25
44556677889900112233;26/01/2025;16:55;I;400.50
55667788990011223344;31/01/2025;20:20;E;250.75
66778899001122334455;05/02/2025;07:45;I;100.00
77889900112233445566;10/02/2025;15:10;E;500.50
88990011223344556677;15/02/2025;11:35;I;650.00
12345678901234567890;03/01/2025;14:50;E;75.25
09876543210987654321;09/01/2025;19:05;I;200.75
11223344556677889900;14/01/2025;08:30;E;350.50
22334455667788990011;19/01/2025;12:55;I;450.25
33445566778899001122;24/01/2025;10:20;E;150.00
44556677889900112233;29/01/2025;17:45;I;300.75
55667788990011223344;03/02/2025;21:10;E;500.50
66778899001122334455;08/02/2025;06:35;I;100.25
77889900112233445566;13/02/2025;14:00;E;600.00
88990011223344556677;18/02/2025;11:25;I;250.50
12345678901234567890;04/01/2025;16:40;E;400.75
09876543210987654321;10/01/2025;20:55;I;50.00
11223344556677889900;15/01/2025;09:20;E;200.25
22334455667788990011;20/01/2025;13:45;I;350.50
33445566778899001122;25/01/2025;11:10;E;450.75
44556677889900112233;30/01/2025;18:35;I;300.00
55667788990011223344;04/02/2025;22:00;E;150.50
66778899001122334455;09/02/2025;07:25;I;500.25
77889900112233445566;14/02/2025;15:50;E;650.00
88990011223344556677;19/02/2025;12:15;I;100.75
12345678901234567890;05/01/2025;14:30;E;120.50
09876543210987654321;11/01/2025;09:15;I;45.75
11223344556677889900;16/01/2025;18:45;E;300.00
22334455667788990011;21/01/2025;12:00;I;650.00
33445566778899001122;26/01/2025;08:00;E;75.25
44556677889900112233;31/01/2025;16:20;I;200.50
55667788990011223344;05/02/2025;10:10;E;450.75
66778899001122334455;10/02/2025;20:30;I;50.00
77889900112233445566;15/02/2025;11:45;E;600.00
88990011223344556677;20/02/2025;13:55;I;125.25
12345678901234567890;06/01/2025;17:00;I;80.50
09876543210987654321;12/01/2025;14:15;E;300.75
11223344556677889900;17/01/2025;09:30;I;400.00
22334455667788990011;22/01/2025;16:45;E;550.50
33445566778899001122;27/01/2025;10:20;I;250.75
44556677889900112233;01/02/2025;12:35;E;100.00
55667788990011223344;06/02/2025;19:50;I;500.25
66778899001122334455;11/02/2025;08:05;E;75.50
77889900112233445566;16/02/2025;14:40;I;350.00
88990011223344556677;21/02/2025;11:55;E;200.75
